关键词,意图（代码）,搜索量,趋势,KD,CPC (USD),竞争程度,SF,结果,快照日期,更新状态
northern lights colorado,0,12100,0 | 13 | 0 | 0 | 2 | 1 | 82 | 0 | 13 | 1 | 0 | 0,18,0,0.33,7 | 9 | 13 | 21 | 28 | 50,108,20260718,0
solar flare today,0,12100,30 | 36 | 10 | 8 | 4 | 7 | 36 | 13 | 10 | 8 | 7 | 10,52,1.87,0.33,9 | 21 | 28 | 50,525,20260718,0
sun solar flares,0,12100,0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 100 | 0 | 16,51,1.32,0.33,5 | 9 | 21 | 28 | 50,132,20260718,0
where can i see the northern lights,0,12100,16 | 29 | 24 | 29 | 36 | 24 | 44 | 29 | 29 | 24 | 20 | 24,38,0.37,0.15,6 | 7 | 9 | 20 | 21 | 28 | 50,215,20260718,0
where can you see the northern lights,0,12100,16 | 24 | 16 | 20 | 20 | 24 | 54 | 29 | 29 | 24 | 13 | 16,43,0.37,0.15,6 | 7 | 9 | 13 | 20 | 21 | 28 | 50,213,20260718,0
alaska northern lights,0,9900,36 | 44 | 19 | 36 | 44 | 66 | 100 | 54 | 44 | 19 | 36 | 36,45,0.81,0.15,7 | 9 | 13 | 20 | 21 | 28 | 41 | 50,132,20260718,0
aurora borealis noaa watch,0,9900,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 100 | 0,19,0,0.33,9 | 21 | 28 | 50,108,20260718,0
aurora borealis northern lights tonight,0,9900,0 | 0 | 0 | 0 | 0 | 0 | 54 | 0 | 2 | 0 | 0 | 0,46,1.52,0.02,9 | 15 | 21 | 28 | 49 | 50,51,20260718,0
aurora borealis northern michigan forecast,0,9900,0 | 45 | 9 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,33,0,0.01,7 | 9 | 21 | 28 | 50,137,20260718,0
aurora lights,0,9900,10 | 13 | 7 | 8 | 10 | 16 | 36 | 13 | 16 | 7 | 7 | 8,68,0.94,0.53,3 | 6 | 7 | 9 | 21 | 28 | 36 | 50,172,20260718,0
noaa aurora forecast,0,9900,4 | 7 | 2 | 2 | 3 | 4 | 16 | 4 | 9 | 1 | 2 | 2,24,0,0.33,7 | 9 | 21 | 28 | 50,105,20260718,0
noaa space weather,1,9900,20 | 29 | 8 | 10 | 16 | 10 | 54 | 20 | 24 | 16 | 13 | 13,71,0,0.33,4 | 6 | 9 | 21 | 28,109,20260718,0
northern lights alaska,0,9900,44 | 36 | 24 | 54 | 36 | 29 | 44 | 44 | 29 | 16 | 36 | 29,49,0.81,0.15,7 | 9 | 13 | 21 | 28 | 41 | 50,32300000,20260718,0
northern lights chicago,0,9900,0 | 16 | 0 | 0 | 6 | 0 | 67 | 1 | 3 | 0 | 0 | 0,24,0,0.33,5 | 7 | 9 | 13 | 21 | 28 | 50,108,20260718,0
northern lights ohio,0,9900,0 | 9 | 0 | 0 | 2 | 0 | 20 | 0 | 2 | 0 | 0 | 0,15,0,0.33,7 | 9 | 13 | 21 | 28 | 50,104,20260718,0
northern lights what,0,9900,3 | 13 | 0 | 0 | 8 | 8 | 100 | 13 | 0 | 7 | 2 | 7,60,0.09,0.06,6 | 9 | 20 | 21 | 28 | 50,112,20260718,0
solar storm today,0 | 1,9900,8 | 8 | 4 | 2 | 4 | 4 | 13 | 8 | 16 | 4 | 4 | 4,87,1.87,0.33,6 | 9 | 21 | 28 | 50,292,20260718,0
the northern lights,0,9900,7 | 13 | 7 | 8 | 10 | 10 | 54 | 13 | 16 | 8 | 8 | 24,65,0.57,0.01,5 | 6 | 9 | 21 | 28 | 50,115,20260718,0
aurora borealis colorado,0,8100,0 | 8 | 0 | 1 | 1 | 0 | 81 | 2 | 5 | 0 | 0 | 0,18,0,0.33,7 | 9 | 13 | 21 | 28 | 50,107,20260718,0
aurora borealis northern lights forecast,0,8100,0 | 36 | 6 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,54,0,0.01,7 | 9 | 21 | 28 | 50,137,20260718,0
aurora tonight,0,8100,1 | 6 | 0 | 1 | 4 | 6 | 24 | 6 | 20 | 6 | 3 | 11,32,1.52,0.02,7 | 9 | 21 | 28 | 50,137,20260718,0
best time to see northern lights tonight,0 | 2,8100,0 | 9 | 0 | 0 | 0 | 0 | 67 | 0 | 0 | 0 | 0 | 0,32,0,0.33,7 | 9 | 21 | 28 | 50,185,20260718,0
kp index,0,8100,13 | 36 | 8 | 13 | 20 | 13 | 66 | 10 | 29 | 10 | 16 | 10,42,0,0.33,7 | 9 | 21 | 28 | 50,141,20260718,0
my aurora,0,8100,20 | 13 | 20 | 8 | 16 | 24 | 16 | 10 | 20 | 13 | 13 | 16,57,0.71,0.33,7 | 9 | 20 | 28 | 50,112,20260718,0
noaa aurora,0,8100,7 | 24 | 4 | 5 | 24 | 16 | 54 | 8 | 20 | 4 | 5 | 4,31,0,0.33,9 | 21 | 28,105,20260718,0
noaa storm prediction center,0,8100,10 | 20 | 16 | 7 | 8 | 13 | 0 | 2 | 0 | 2 | 29 | 66,96,0,0.33,6 | 9 | 28,109,20260718,0
northern lights map,0,8100,4 | 8 | 1 | 2 | 4 | 2 | 16 | 2 | 7 | 1 | 1 | 1,46,1.33,0.33,5 | 9 | 28 | 50,20,20260718,0
northern lights michigan,0,8100,1 | 13 | 1 | 1 | 11 | 1 | 4 | 0 | 1 | 0 | 0 | 0,32,0.52,0.33,7 | 9 | 13 | 20 | 21 | 28 | 36 | 50,108,20260718,0
what are the northern lights,0,8100,3 | 4 | 2 | 4 | 3 | 4 | 36 | 4 | 4 | 1 | 3 | 2,60,0.09,0.06,6 | 9 | 20 | 21 | 28 | 50,156,20260718,0
what time will the northern lights be visible tonight,0,8100,0 | 9 | 0 | 0 | 1 | 1 | 55 | 1 | 11 | 0 | 0 | 0,45,0.6,0.01,7 | 9 | 21 | 28 | 50,192,20260718,0
aurora borealis map,0,6600,1 | 4 | 1 | 2 | 6 | 3 | 24 | 2 | 6 | 0 | 1 | 1,50,1.33,0.33,5 | 7 | 9 | 13 | 21 | 28,133,20260718,0
aurora prediction,0,6600,29 | 19 | 1 | 13 | 8 | 24 | 36 | 16 | 54 | 13 | 19 | 5,47,1.05,0.33,7 | 9 | 21 | 28,133,20260718,0
can i see the northern lights tonight,0,6600,0 | 6 | 0 | 1 | 2 | 1 | 44 | 0 | 6 | 0 | 0 | 0,41,1.26,0.01,7 | 9 | 21 | 28 | 50,184,20260718,0
geomagnetic storm today,0 | 1,6600,10 | 29 | 7 | 7 | 13 | 10 | 100 | 13 | 44 | 3 | 7 | 3,79,0,0.33,4 | 6 | 9 | 21 | 28 | 50,133,20260718,0
my aurora forecast & alerts app,0,6600,2 | 29 | 8 | 19 | 16 | 24 | 100 | 24 | 66 | 1 | 13 | 1,60,0,0.33,7 | 9 | 21 | 28 | 50,141,20260718,0
northern lights indiana,0,6600,0 | 4 | 0 | 0 | 4 | 0 | 55 | 0 | 2 | 0 | 0 | 0,14,0,0.33,7 | 9 | 13 | 21 | 28 | 50,110,20260718,0
nws outlook,1,6600,54 | 24 | 24 | 16 | 19 | 19 | 13 | 7 | 8 | 13 | 81 | 100,99,0,0.33,21 | 28,112,20260718,0
planet weather,0,6600,0 | 0 | 0 | 0 | 1 | 0 | 1 | 66 | 100 | 5 | 2 | 3,46,0,0.33,7 | 9 | 20 | 21 | 28 | 50,106,20260718,0
solar storms,0,6600,20 | 6 | 2 | 6 | 3 | 2 | 7 | 1 | 4 | 2 | 1 | 1,54,2.69,0.33,9 | 21 | 28 | 41 | 50,243,20260718,0
spaceweatherlive,1,6600,8 | 24 | 3 | 7 | 19 | 19 | 54 | 19 | 36 | 16 | 16 | 13,44,0,0.33,6 | 7 | 28,,20260718,0
aroura,0,5400,29 | 36 | 24 | 24 | 44 | 29 | 54 | 54 | 29 | 44 | 36 | 44,82,0.68,0.02,1 | 7 | 9 | 13 | 20 | 21 | 26 | 28 | 36 | 50,109,20260718,0
aurora australis,0,5400,24 | 19 | 16 | 13 | 16 | 19 | 54 | 19 | 29 | 19 | 19 | 29,51,0,0.33,9 | 20 | 21 | 28 | 50,121,20260718,0
aurora borealis alaska,0,5400,16 | 29 | 24 | 44 | 36 | 54 | 54 | 29 | 24 | 24 | 54 | 24,24,0.81,0.15,7 | 9 | 13 | 20 | 21 | 28 | 41 | 50,127,20260718,0
aurora borealis tracker,0,5400,2 | 16 | 2 | 7 | 13 | 7 | 54 | 8 | 7 | 2 | 3 | 2,64,0.51,0.01,7 | 9 | 21 | 28 | 50,199,20260718,0
aurora forecast for tonight,0,5400,0 | 0 | 0 | 0 | 16 | 13 | 100 | 7 | 19 | 19 | 16 | 10,34,0.89,0.01,7 | 9 | 21 | 28 | 50,140,20260718,0
best time to see northern lights,2,5400,3 | 8 | 2 | 2 | 4 | 3 | 29 | 2 | 8 | 1 | 2 | 1,21,0.79,0.2,6 | 7 | 9 | 13 | 21 | 28 | 43 | 50,160,20260718,0
december 3 aurora borealis forecast,0,5400,0 | 0 | 0 | 0 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 0,35,0,0.33,9 | 21 | 28 | 50,144,20260718,0
g3 geomagnetic storm watch,0,5400,0 | 0 | 0 | 0 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 0,27,0,0.33,7 | 9 | 13 | 21 | 28 | 43 | 50,125,20260718,0
hpc weather,0,5400,16 | 0 | 0 | 1 | 1 | 81 | 0 | 2 | 100 | 44 | 66 | 44,60,0,0.33,9 | 21 | 28,142,20260718,0
moderate geomagnetic storm aurora borealis,0,5400,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,48,0,0.01,9 | 21 | 28 | 50,104,20260718,0
noaa northern lights,0,5400,8 | 10 | 5 | 4 | 8 | 10 | 44 | 8 | 29 | 3 | 7 | 29,31,0,0.33,5 | 9 | 21 | 28,103,20260718,0
noaa.gov,1,5400,0 | 13 | 13 | 16 | 0 | 8 | 24 | 44 | 81 | 54 | 54 | 19,100,0,0.33,6 | 50,,20260718,0
northen lights,0,5400,10 | 24 | 8 | 10 | 13 | 16 | 36 | 13 | 29 | 13 | 13 | 13,64,1.02,0.02,5 | 9 | 21 | 28 | 50,107,20260718,0
northern lights aurora borealis alaska,0,5400,0 | 1 | 0 | 7 | 0 | 100 | 1 | 1 | 81 | 0 | 100 | 81,35,0.81,0.15,7 | 9 | 13 | 20 | 21 | 28 | 36 | 43 | 50,142,20260718,0
northern lights tonight near me,0 | 3,5400,0 | 2 | 0 | 4 | 1 | 0 | 13 | 1 | 4 | 0 | 0 | 0,42,0.99,0.02,7 | 9 | 21 | 28 | 50,192,20260718,0
northern lights tracker,0,5400,5 | 13 | 2 | 5 | 13 | 7 | 54 | 5 | 16 | 2 | 2 | 3,57,0.51,0.01,7 | 9 | 21 | 28,200,20260718,0
solar weather,0 | 1,5400,29 | 36 | 19 | 19 | 19 | 24 | 66 | 29 | 44 | 29 | 13 | 16,59,1.59,0.33,6 | 9 | 21 | 28 | 50,131,20260718,0
space weather prediction center,1,5400,8 | 20 | 5 | 7 | 10 | 8 | 24 | 10 | 13 | 7 | 10 | 8,70,0,0.33,6 | 9 | 21 | 28,,20260718,0
what time is the aurora borealis tonight,0,5400,0 | 100 | 0 | 2 | 4 | 1 | 81 | 1 | 13 | 0 | 0 | 0,54,0,0.01,7 | 9 | 21 | 28 | 50,190,20260718,0
what time is the northern lights tonight,0,5400,0 | 7 | 0 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 0 | 0,21,0,0.01,7 | 9 | 21 | 28 | 50,38,20260718,0
where are the northern lights,0,5400,8 | 10 | 8 | 10 | 10 | 10 | 36 | 10 | 10 | 7 | 7 | 5,54,0.35,0.07,7 | 9 | 21 | 28 | 50,189,20260718,0
are the northern lights visible tonight,0,4400,0 | 5 | 0 | 0 | 5 | 1 | 54 | 1 | 5 | 0 | 0 | 0,29,0,0.33,7 | 9 | 21 | 28 | 50,182,20260718,0
aurora borealis december 2025,0,4400,0 | 0 | 0 | 0 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 0,42,0,0.03,9 | 20 | 21 | 28 | 50,137,20260718,0
aurora borealis january 2-3,0,4400,100 | 0 | 0 | 0,40,0,0,9 | 21 | 28 | 50,693000,20260718,0
aurora lights tonight,0,4400,4 | 44 | 1 | 4 | 13 | 19 | 66 | 8 | 13 | 8 | 8 | 19,47,1.52,0.02,7 | 9 | 21 | 28 | 50,133,20260718,0
aurora map,0,4400,3 | 13 | 1 | 2 | 3 | 3 | 24 | 3 | 10 | 1 | 2 | 2,50,0,0.33,7 | 9 | 13 | 21 | 28,135,20260718,0
aurora map tonight,0,4400,5 | 29 | 1 | 8 | 10 | 4 | 81 | 2 | 24 | 1 | 2 | 3,53,1.51,0.33,5 | 7 | 9 | 21 | 28 | 50,137,20260718,0
auroras boreales,0,4400,10 | 13 | 10 | 10 | 13 | 16 | 66 | 19 | 19 | 8 | 13 | 8,65,0.46,0.02,5 | 7 | 9 | 13 | 20 | 21 | 28 | 50,105,20260718,0
can you see the northern lights tonight,0,4400,0 | 3 | 0 | 0 | 0 | 0 | 36 | 0 | 2 | 0 | 0 | 0,44,0,0.33,7 | 9 | 21 | 28 | 50,186,20260718,0
magnetic storm,0,4400,4 | 7 | 1 | 1 | 2 | 7 | 36 | 16 | 20 | 13 | 13 | 1,28,2.16,0.33,9 | 21 | 28 | 41 | 50,165,20260718,0
noaa convective outlook,1,4400,66 | 66 | 36 | 23 | 10 | 15 | 10 | 3 | 8 | 10 | 66 | 81,67,0,0.33,5 | 6 | 28,74,20260718,0
noaa space weather prediction center,0 | 1,4400,16 | 24 | 7 | 5 | 24 | 10 | 66 | 7 | 54 | 10 | 3 | 7,64,0,0.33,4 | 6 | 9 | 21 | 28,109,20260718,0
northern lights forecast by zip code,0,4400,2 | 6 | 0 | 0 | 3 | 1 | 16 | 1 | 3 | 0 | 0 | 0,31,0.92,0.01,7 | 9 | 28 | 50,198,20260718,0
northern lights oregon,0,4400,2 | 24 | 1 | 1 | 4 | 0 | 7 | 0 | 16 | 0 | 0 | 0,17,0,0.33,7 | 9 | 13 | 20 | 21 | 28 | 36 | 50,34400000,20260718,0
northern lights tonight map,0,4400,2 | 16 | 0 | 3 | 7 | 3 | 44 | 3 | 8 | 0 | 1 | 2,53,1.51,0.33,5 | 7 | 9 | 21 | 28 | 50,135,20260718,0
nothern lights,0,4400,4 | 3 | 2 | 8 | 5 | 10 | 16 | 7 | 10 | 5 | 4 | 5,66,1.02,0.02,9 | 21 | 28 | 50,121,20260718,0
nws storm center,1,4400,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 100,77,0,0.33,1 | 6 | 9 | 28,106,20260718,0
solar flare 2025,0,4400,100 | 100 | 29 | 12 | 12 | 10 | 36 | 29 | 3 | 1 | 0 | 0,85,0,0.33,9 | 21 | 28 | 50,217,20260718,0
space weather live,1,4400,8 | 8 | 8 | 3 | 8 | 24 | 29 | 10 | 19 | 16 | 10 | 10,54,0,0.33,4 | 6 | 9 | 21 | 28,,20260718,0
sun's solar storm,0,4400,0 | 5 | 0 | 0 | 0 | 0 | 0 | 10 | 5 | 100 | 7 | 100,63,1.32,0.33,9 | 20 | 21 | 28 | 50,250,20260718,0
sunspot region 4168 solar storm,0,4400,100 | 100 | 0 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,47,0,0.33,9 | 13 | 21 | 28 | 50,2700,20260718,0
tonight's aurora forecast,0,4400,10 | 16 | 10 | 3 | 10 | 4 | 19 | 44 | 0 | 100 | 7 | 7,52,0.89,0.01,7 | 9 | 21 | 28 | 50,107,20260718,0
weather forecasting,0,4400,7 | 4 | 5 | 8 | 8 | 4 | 4 | 4 | 5 | 5 | 7 | 0,100,0.39,0.01,7 | 9 | 20 | 28,406000000,20260718,0
what is a geomagnetic storm,0,4400,8 | 10 | 1 | 3 | 3 | 7 | 54 | 4 | 20 | 2 | 2 | 2,38,0,0.33,5 | 9 | 21 | 28 | 50,152,20260718,0
what time are the northern lights tonight,0,4400,0 | 7 | 0 | 0 | 0 | 0 | 36 | 0 | 0 | 0 | 0 | 0,47,0,0.01,7 | 9 | 21 | 28 | 50,188,20260718,0
where are the northern lights located,0,4400,36 | 81 | 29 | 44 | 29 | 54 | 54 | 23 | 36 | 23 | 44 | 23,49,0.37,0.15,6 | 7 | 9 | 13 | 21 | 28 | 50,160,20260718,0
where to see northern lights tonight,0,4400,0 | 13 | 0 | 1 | 1 | 1 | 29 | 1 | 8 | 0 | 0 | 0,58,0.71,0.02,7 | 9 | 21 | 28 | 50,182,20260718,0
alaska aurora forecast,0,3600,6 | 8 | 3 | 24 | 54 | 6 | 66 | 36 | 36 | 10 | 19 | 10,39,1.06,0.01,7 | 9 | 21 | 28 | 50,126,20260718,0
aurora borealis aurora australis,0,3600,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 81 | 100 | 0,54,0.78,0.01,9 | 21 | 28 | 43 | 50,104,20260718,0
aurora forcast,0,3600,13 | 24 | 3 | 8 | 10 | 2 | 54 | 24 | 81 | 16 | 8 | 0,28,1.05,0.33,7 | 9 | 21 | 28,141,20260718,0
aurora forecast alaska,0,3600,13 | 16 | 16 | 36 | 81 | 44 | 54 | 54 | 44 | 36 | 36 | 24,39,1.06,0.01,7 | 9 | 21 | 28 | 50,133,20260718,0
aurora near me,3,3600,10 | 54 | 36 | 36 | 54 | 66 | 66 | 54 | 54 | 36 | 66 | 54,51,0,0.33,3 | 6 | 7 | 9 | 21 | 28 | 50,159,20260718,0
aurora northern lights,0,3600,2 | 3 | 1 | 1 | 24 | 3 | 13 | 3 | 3 | 2 | 1 | 1,56,0.57,0.37,5 | 7 | 9 | 20 | 21 | 28 | 41 | 50,106,20260718,0
aurora tracker,0,3600,4 | 19 | 2 | 5 | 10 | 7 | 54 | 13 | 19 | 1 | 3 | 2,64,0.4,0.33,7 | 9 | 21 | 28,205,20260718,0
auroras tonight,0,3600,2 | 16 | 2 | 3 | 8 | 3 | 100 | 5 | 5 | 1 | 0 | 8,53,1.52,0.02,7 | 9 | 21 | 28 | 50,136,20260718,0
electromagnetic storm,0,3600,13 | 10 | 3 | 5 | 8 | 13 | 29 | 19 | 10 | 10 | 13 | 5,44,2.16,0.33,9 | 20 | 21 | 28 | 36 | 41 | 50,122,20260718,0
g4 geomagnetic storm,0,3600,3 | 16 | 0 | 0 | 0 | 0 | 29 | 0 | 13 | 0 | 0 | 0,29,0,0.33,5 | 6 | 9 | 21 | 28 | 36 | 50,118,20260718,0
how to see the northern lights,0,3600,1 | 7 | 1 | 1 | 2 | 1 | 66 | 2 | 8 | 1 | 3 | 1,17,0.61,0.19,7 | 9 | 13 | 21 | 28 | 50,185,20260718,0
nasa solar flares,0,3600,100 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0,73,0,0.33,5 | 9 | 21 | 28 | 50,145,20260718,0
noaa aurora borealis forecast,0,3600,5 | 3 | 10 | 16 | 24 | 44 | 100 | 54 | 3 | 1 | 3 | 2,41,0,0.33,5 | 7 | 9 | 21 | 28 | 50,100,20260718,0
noaa solar weather,1,3600,3 | 44 | 13 | 2 | 8 | 13 | 54 | 3 | 29 | 8 | 5 | 8,70,0,0.33,4 | 6 | 9 | 21 | 28,,20260718,0
noaa space weather g2 storm,1,3600,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 100 | 0,31,0,0.33,6 | 9 | 21 | 28,153,20260718,0
northern lights california,0,3600,0 | 2 | 0 | 0 | 0 | 0 | 3 | 0 | 2 | 0 | 0 | 0,26,0,0.33,7 | 9 | 13 | 20 | 21 | 28 | 50,110,20260718,0
northern lights colorado tonight,0,3600,0 | 2 | 0 | 0 | 0 | 0 | 100 | 0 | 3 | 0 | 0 | 0,27,0,0.33,7 | 9 | 21 | 28 | 50,133,20260718,0
northern lights kansas city,0,3600,0 | 3 | 0 | 0 | 0 | 0 | 66 | 0 | 5 | 0 | 0 | 0,22,0,0.33,1 | 6 | 7 | 9 | 21 | 28 | 43 | 50,18800000,20260718,0
northern lights seattle,0,3600,1 | 4 | 0 | 1 | 1 | 1 | 7 | 0 | 7 | 0 | 1 | 0,11,1.13,0.33,1 | 6 | 7 | 9 | 13 | 21 | 28 | 43 | 50,132,20260718,0
northern lights utah,0,3600,1 | 2 | 0 | 0 | 0 | 0 | 29 | 0 | 8 | 0 | 0 | 0,21,0,0.33,7 | 9 | 13 | 20 | 21 | 28 | 50,114,20260718,0
solar storm 2025,0,3600,54 | 81 | 19 | 10 | 16 | 4 | 24 | 5 | 1 | 0 | 0 | 0,55,0,0.33,9 | 20 | 21 | 28 | 36 | 50,205,20260718,0
space weather forecast,1,3600,13 | 16 | 4 | 8 | 10 | 8 | 36 | 8 | 13 | 7 | 13 | 7,88,0,0.33,6 | 9 | 28,,20260718,0
what is the aurora borealis,0,3600,8 | 12 | 24 | 24 | 16 | 19 | 66 | 12 | 19 | 24 | 16 | 19,66,0.12,0.02,7 | 9 | 20 | 21 | 28 | 50,142,20260718,0
alaska aurora,0,2900,7 | 3 | 3 | 4 | 24 | 5 | 29 | 19 | 29 | 13 | 10 | 13,35,0.81,0.15,1 | 5 | 7 | 9 | 13 | 20 | 21 | 28 | 50,130,20260718,0
aurora borealis chicago,0,2900,0 | 4 | 0 | 0 | 6 | 0 | 16 | 0 | 2 | 0 | 0 | 0,18,0,0.33,5 | 7 | 9 | 21 | 28 | 50,108,20260718,0
aurora borealis map tonight,0,2900,3 | 36 | 4 | 8 | 5 | 7 | 44 | 2 | 13 | 2 | 4 | 8,56,1.51,0.33,5 | 7 | 9 | 13 | 21 | 28 | 50,135,20260718,0
aurora borealis march forecast,0,2900,100 | 44 | 7 | 12 | 23 | 16 | 81 | 19 | 54 | 10 | 29 | 0,44,1.04,0.01,9 | 20 | 21 | 28 | 43 | 50,120,20260718,0
aurora borealis michigan,0,2900,1 | 7 | 0 | 2 | 8 | 3 | 10 | 3 | 3 | 0 | 2 | 1,32,0.52,0.33,6 | 7 | 9 | 20 | 21 | 28 | 50,110,20260718,0
aurora borealis northern,0,2900,10 | 15 | 1 | 5 | 81 | 15 | 100 | 19 | 10 | 8 | 8 | 10,69,0.57,0.37,9 | 20 | 21 | 28 | 50,109,20260718,0
aurora borealis thanksgiving forecast,0,2900,0 | 0 | 0 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 0 | 0,45,0,0.33,7 | 9 | 21 | 28 | 50,31300,20260718,0
best time to see aurora borealis,2,2900,19 | 29 | 13 | 15 | 19 | 19 | 100 | 19 | 44 | 10 | 10 | 8,17,0.79,0.2,6 | 9 | 21 | 28 | 43 | 50,157,20260718,0
best time to see northern lights in alaska,2,2900,29 | 24 | 29 | 36 | 24 | 36 | 36 | 29 | 44 | 24 | 24 | 19,23,0.74,0.31,6 | 9 | 21 | 28 | 43 | 50,143,20260718,0
bird wing solar eruption tomorrow,0,2900,100 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,26,0,0.33,9 | 20 | 21 | 28 | 50,105000,20260718,0
can i see the aurora borealis tonight,0,2900,4 | 36 | 3 | 6 | 19 | 8 | 100 | 6 | 29 | 2 | 4 | 4,43,1.26,0.01,7 | 9 | 21 | 28 | 50,174,20260718,0
fairbanks alaska northern lights,0,2900,16 | 23 | 29 | 35 | 44 | 44 | 66 | 66 | 44 | 44 | 35 | 23,33,0.98,0.31,6 | 7 | 9 | 13 | 21 | 28 | 36 | 50,135,20260718,0
geometric storm,0,2900,35 | 54 | 16 | 44 | 66 | 23 | 100 | 16 | 44 | 16 | 10 | 7,54,2.16,0.33,9 | 21 | 28 | 36 | 41 | 50,117,20260718,0
how to see aurora borealis,0,2900,2 | 16 | 2 | 2 | 8 | 4 | 100 | 0 | 19 | 1 | 5 | 2,15,0.61,0.19,7 | 9 | 21 | 28 | 43 | 50,186,20260718,0
june northern lights geomagnetic storm watch,0,2900,5 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,42,0,0.33,9 | 20 | 21 | 28 | 50,132,20260718,0
kc in northern lights,0,2900,0 | 2 | 0 | 0 | 0 | 0 | 100 | 0 | 7 | 0 | 0 | 0,19,0,0.33,1 | 6 | 7 | 9 | 20 | 21 | 28 | 50,39400000,20260718,0
lights of the aurora,0,2900,10 | 15 | 1 | 5 | 81 | 15 | 100 | 19 | 10 | 8 | 8 | 10,64,0.57,0.37,6 | 9 | 20 | 21 | 28 | 50,173,20260718,0
magnetic storm today,0 | 1,2900,23 | 29 | 15 | 8 | 23 | 19 | 100 | 19 | 54 | 10 | 10 | 8,48,0,0.33,6 | 9 | 21 | 28 | 50,146,20260718,0
noaa outlook,1,2900,54 | 44 | 44 | 35 | 23 | 23 | 19 | 16 | 19 | 10 | 81 | 100,93,0,0.33,6 | 9 | 28,119,20260718,0
northern lights before:2024-10-10,0,2900,0 | 100 | 0 | 0 | 0 | 81 | 0 | 0 | 0 | 0 | 0 | 0,37,0,0,20 | 28 | 50,87700000,20260718,0
northern lights illinois,0,2900,0 | 1 | 0 | 0 | 1 | 0 | 20 | 0 | 0 | 0 | 0 | 0,21,0,0.33,7 | 9 | 13 | 21 | 28 | 50,108,20260718,0
northern lights maryland,0,2900,1 | 10 | 0 | 0 | 3 | 0 | 100 | 1 | 16 | 0 | 0 | 0,19,0,0.33,6 | 9 | 13 | 21 | 28 | 50,110,20260718,0
northern lights michigan tonight,0,2900,3 | 29 | 2 | 3 | 16 | 5 | 24 | 3 | 4 | 0 | 2 | 1,28,0,0.33,7 | 9 | 21 | 28 | 50,135,20260718,0
northern lights nyc,0,2900,1 | 4 | 0 | 1 | 3 | 1 | 13 | 1 | 7 | 0 | 0 | 1,16,0,0.33,7 | 9 | 21 | 28 | 50,108,20260718,0
northern lights tonight massachusetts,0,2900,0 | 16 | 0 | 0 | 1 | 0 | 44 | 0 | 3 | 0 | 0 | 0,22,0,0.33,7 | 9 | 21 | 28 | 50,108,20260718,0
northern lights visible tonight,0,2900,2 | 16 | 1 | 2 | 7 | 2 | 100 | 2 | 5 | 0 | 1 | 2,30,0,0.33,7 | 9 | 21 | 28 | 50,136,20260718,0
northern lights wisconsin,0,2900,1 | 5 | 1 | 2 | 8 | 2 | 16 | 1 | 3 | 0 | 0 | 0,19,0,0.33,7 | 9 | 21 | 28 | 50,108,20260718,0
severe geomagnetic storm alert,0,2900,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 100 | 0 | 0 | 0,28,0,0.33,9 | 21 | 28,119,20260718,0
solar activity,0,2900,36 | 29 | 19 | 16 | 24 | 24 | 54 | 29 | 29 | 24 | 24 | 24,57,3.54,0.33,9 | 21 | 28 | 36 | 50,135,20260718,0
solarham,0,2900,29 | 44 | 24 | 29 | 24 | 19 | 66 | 19 | 24 | 24 | 16 | 10,22,0,0.33,4 | 7 | 9 | 13 | 20 | 21 | 28,103,20260718,0
southern lights aurora,0,2900,10 | 43 | 15 | 19 | 54 | 54 | 54 | 24 | 36 | 43 | 66 | 81,32,0,0.33,5 | 9 | 13 | 20 | 21 | 28 | 36 | 50,115,20260718,0
storm prediction,0,2900,8 | 12 | 6 | 10 | 0 | 16 | 8 | 10 | 100 | 3 | 44 | 6,75,2.39,0.33,4 | 9 | 28,330,20260718,0
swpc,1,2900,19 | 24 | 10 | 12 | 19 | 12 | 54 | 16 | 36 | 10 | 10 | 8,44,0,0.33,1 | 6 | 9 | 20 | 21 | 28,110,20260718,0
